iter	Passed	Remaining
420	1654	2274
421	1655	2267
422	1656	2259
423	1657	2252
424	1659	2244
425	1670	2251
426	1671	2243
427	1673	2236
428	1674	2229
429	1676	2221
430	1686	2226
431	1688	2219
432	1689	2212
433	1690	2205
434	1692	2197
435	1700	2199
436	1702	2192
437	1703	2186
438	1704	2178
439	1706	2171
440	1707	2164
441	1716	2167
442	1717	2160
443	1719	2153
444	1720	2146
445	1723	2140
446	1727	2136
447	1729	2131
448	1731	2124
449	1732	2117
450	1733	2110
451	1745	2116
452	1747	2110
453	1749	2104
454	1751	2097
455	1761	2101
456	1762	2094
457	1764	2088
458	1766	2081
459	1768	2075
460	1781	2082
461	1783	2076
462	1795	2083
463	1797	2076
464	1800	2071
465	1811	2075
466	1814	2070
467	1815	2064
468	1825	2067
469	1827	2060
470	1828	2054
471	1830	2047
472	1841	2051
473	1842	2045
474	1844	2038
475	1845	2032
476	1847	2025
477	1848	2019
478	1850	2013
479	1852	2006
480	1854	2001
481	1861	2000
482	1863	1994
483	1864	1988
484	1866	1981
485	1867	1975
486	1868	1968
487	1870	1962
488	1873	1957
489	1874	1951
490	1876	1945
491	1878	1939
492	1879	1932
493	1880	1926
494	1882	1920
495	1884	1914
496	1885	1908
497	1887	1902
498	1900	1908
499	1901	1901
500	1902	1895
501	1909	1894
502	1910	1888
503	1912	1881
504	1913	1875
505	1914	1869
506	1915	1862
507	1916	1856
508	1917	1849
509	1927	1851
510	1928	1845
511	1929	1839
512	1931	1833
513	1932	1826
514	1933	1820
515	1943	1823
516	1944	1817
517	1946	1810
518	1947	1804
519	1948	1798
520	1949	1792
521	1960	1795
522	1962	1789
523	1963	1783
524	1964	1777
525	1965	1771
526	1975	1773
527	1981	1771
528	1988	1770
529	1991	1766
530	1993	1760
531	2004	1763
532	2005	1757
533	2007	1751
534	2008	1745
535	2022	1750
536	2023	1744
537	2025	1738
538	2030	1736
539	2031	1730
540	2032	1724
541	2034	1718
542	2035	1712
543	2037	1707
544	2040	1703
545	2041	1697
546	2043	1692
547	2044	1686
548	2046	1680
549	2047	1675
550	2049	1669
551	2050	1664
552	2052	1658
553	2054	1653
554	2062	1654
555	2064	1648
556	2065	1642
557	2067	1637
558	2068	1631
559	2069	1626
560	2076	1624
561	2078	1619
562	2080	1614
563	2081	1609
564	2083	1603
565	2085	1598
566	2090	1596
567	2092	1591
568	2093	1585
569	2095	1580
570	2097	1575
571	2100	1571
572	2101	1566
573	2104	1561
574	2105	1556
575	2107	1551
576	2108	1545
577	2121	1549
578	2123	1543
579	2124	1538
580	2129	1535
581	2130	1530
582	2132	1525
583	2133	1519
584	2135	1514
585	2136	1509
586	2138	1504
587	2139	1499
588	2148	1499
589	2151	1495
590	2153	1490
591	2155	1485
592	2164	1485
593	2165	1480
594	2166	1474
595	2168	1469
596	2169	1464
597	2171	1459
598	2177	1457
599	2179	1452
600	2180	1447
601	2181	1442
602	2183	1437
603	2184	1432
604	2186	1427
605	2190	1424
606	2191	1419
607	2193	1414
608	2194	1408
609	2195	1403
610	2196	1398
611	2198	1393
612	2199	1388
613	2201	1383
614	2206	1381
615	2208	1376
616	2209	1371
617	2210	1366
618	2212	1361
619	2213	1356
620	2214	1351
621	2215	1346
622	2222	1344
623	2223	1339
624	2225	1335
625	2226	1330
626	2227	1325
627	2229	1320
628	2230	1315
629	2231	1310
630	2235	1307
631	2236	1302
632	2238	1297
633	2239	1292
634	2240	1288
635	2242	1283
636	2243	1278
637	2244	1273
638	2245	1268
639	2246	1263
640	2250	1260
641	2251	1255
642	2252	1250
643	2253	1245
644	2254	1241
645	2256	1236
646	2257	1231
647	2258	1226
648	2259	1222
649	2260	1217
650	2261	1212
651	2271	1212
652	2274	1208
653	2276	1204
654	2286	1204
655	2289	1200
656	2290	1196
657	2307	1199
658	2308	1194
659	2309	1189
660	2315	1187
661	2316	1182
662	2317	1178
663	2319	1173
664	2321	1169
665	2323	1165
666	2325	1160
667	2336	1161
668	2338	1156
669	2339	1152
670	2341	1147
671	2352	1148
672	2354	1143
673	2356	1139
674	2365	1139
675	2372	1137
676	2375	1133
677	2377	1129
678	2379	1124
679	2404	1131
680	2406	1127
681	2408	1123
682	2410	1118
683	2412	1114
684	2421	1113
685	2424	1109
686	2426	1105
687	2428	1101
688	2440	1101
689	2442	1097
690	2444	1093
691	2446	1088
692	2448	1084
693	2450	1080
694	2459	1079
695	2462	1075
696	2464	1071
697	2468	1067
698	2475	1065
699	2481	1063
700	2483	1059
701	2490	1057
702	2494	1053
703	2496	1049
704	2498	1045
705	2508	1044
706	2510	1040
707	2513	1036
708	2548	1046
709	2660	1086
710	2662	1082
711	2664	1077
712	2678	1078
713	2680	1073
714	2688	1071
715	2690	1067
716	2692	1062
717	2694	1058
718	2696	1053
719	2707	1053
720	2710	1048
721	2712	1044
722	2723	1043
723	2725	1038
724	2727	1034
725	2740	1034
726	2742	1029
727	2744	1025
728	2751	1022
729	2754	1018
730	2757	1014
731	2759	1010
732	2772	1009
733	2774	1005
734	2801	1009
735	2803	1005
736	2816	1005
737	2818	1000
738	2819	995
739	2822	991
740	2823	986
741	2833	985
742	2835	980
743	2837	976
744	2839	971
745	2851	970
746	2853	966
747	2855	962
748	2866	960
749	2868	956
750	2870	951
751	2871	947
752	2883	945
753	2885	941
754	2900	941
755	2946	950
756	2947	946
757	2949	941
758	2951	937
759	2953	932
760	2961	930
761	2963	925
762	2964	920
763	2966	916
764	2967	911
765	2978	909
766	2980	905
767	2982	900
768	2991	898
769	2993	894
770	2995	889
771	2996	884
772	2998	880
773	3003	877
774	3007	873
775	3009	868
776	3011	864
777	3014	860
778	3024	857
779	3028	854
780	3030	849
781	3039	847
782	3041	842
783	3042	838
784	3045	834
785	3054	831
786	3055	827
787	3057	822
788	3059	818
789	3061	813
790	3066	810
791	3068	805
792	3070	801
793	3072	797
794	3074	792
795	3076	788
796	3083	785
797	3085	781
798	3087	776
799	3089	772
800	3090	767
801	3092	763
802	3102	761
803	3104	756
804	3106	752
805	3107	747
806	3109	743
807	3124	742
808	3137	740
809	3139	736
810	3148	733
811	3152	729
812	3154	725
813	3156	721
814	3165	718
815	3167	714
816	3168	709
817	3170	705
818	3172	701
819	3182	698
820	3184	694
821	3186	689
822	3188	685
823	3194	682
824	3196	678
825	3198	673
826	3200	669
827	3207	666
828	3213	662
829	3214	658
830	3216	654
831	3219	650
832	3221	645
833	3228	642
834	3230	638
835	3233	634
836	3235	630
837	3237	625
838	3244	622
839	3246	618
840	3248	614
841	3252	610
842	3253	605
843	3260	602
844	3262	598
845	3264	594
846	3265	589
847	3267	585
848	3275	582
849	3281	579
850	3283	574
851	3285	570
852	3295	567
853	3296	563
854	3299	559
855	3304	555
856	3306	551
857	3309	547
858	3311	543
859	3316	539
860	3322	536
861	3324	532
862	3328	528
863	3330	524
864	3332	520
865	3334	515
866	3336	511
867	3337	507
868	3340	503
869	3342	499
870	3351	496
871	3352	492
872	3355	488
873	3357	483
874	3362	480
875	3364	476
876	3368	472
877	3370	468
878	3371	464
879	3373	460
880	3381	456
881	3382	452
882	3388	449
883	3391	444
884	3394	441
885	3398	437
886	3412	434
887	3413	430
888	3418	426
889	3420	422
890	3422	418
891	3424	414
892	3426	410
893	3428	406
894	3441	403
895	3443	399
896	3445	395
897	3450	391
898	3452	387
899	3456	384
900	3458	379
901	3460	375
902	3469	372
903	3471	368
904	3473	364
905	3487	361
906	3489	357
907	3491	353
908	3506	351
909	3508	347
910	3514	343
911	3515	339
912	3517	335
913	3520	331
914	3523	327
915	3539	324
916	3544	320
917	3548	316
918	3549	312
919	3551	308
920	3553	304
921	3555	300
922	3565	297
923	3567	293
924	3569	289
925	3571	285
926	3585	282
927	3604	279
928	3610	275
929	3612	271
930	3614	267
931	3615	263
932	3619	259
933	3621	255
934	3623	251
935	3625	247
936	3626	243
937	3628	239
938	3640	236
939	3642	232
940	3645	228
941	3654	225
942	3656	220
943	3657	216
944	3659	213
945	3661	209
946	3666	205
947	3669	201
948	3671	197
949	3673	193
950	3675	189
951	3682	185
952	3684	181
953	3685	177
954	3687	173
955	3689	169
956	3691	165
957	3693	161
958	3695	157
959	3698	154
960	3701	150
961	3710	146
962	3711	142
963	3714	138
964	3716	134
965	3717	130
966	3719	126
967	3722	123
968	3724	119
969	3725	115
970	3727	111
971	3728	107
972	3730	103
973	3732	99
974	3733	95
975	3740	91
976	3741	88
977	3742	84
978	3744	80
979	3745	76
980	3747	72
981	3748	68
982	3754	64
983	3756	61
984	3758	57
985	3759	53
986	3761	49
987	3762	45
988	3763	41
989	3771	38
990	3772	34
991	3774	30
992	3776	26
993	3777	22
994	3779	18
995	3783	15
996	3792	11
997	3793	7
998	3794	3
999	3796	0
